"","NAME_CHAR","n"
"1207","279.3 Unspecified Immunity Deficiency",6
"1208","291.0 Alcohol Withdrawal Delirium",6
"1209","292.2 Pathological Drug Intoxication",6
"1210","293.9 Unspecified Transient Organic Mental Disorder",6
"1211","295.95 Unspecified Schizophrenia, In Remission",6
"1212","296.13 Manic Disorder, Recurrent Episode, Severe Degree, Without Mention Of Psychotic Behavior",6
"1213","301.59 Other Histrionic Personality Disorder",6
"1214","302.74 Psychosexual Dysfunction With Inhibited Male Orgasm",6
"1215","302.89 Other Specified Psychosexual Disorders",6
"1216","305.41 Barbiturate And Similarly Acting Sedative Or Hypnotic Abuse, Continuous Use",6
"1217","313.23 Elective Mutism Specific To Childhood And Adolescence",6
"1218","315.02 Developmental Dyslexia",6
"1219","315.5 Mixed Development Disorder",6
"1220","E08.3212 Diabetes Mellitus Due To Underlying Condition With Mild Nonproliferative Diabetic Retinopathy With Macular Edema, Left Eye",6
"1221","E09.42 Drug Or Chemical Induced Diabetes Mellitus With Neurological Complications With Diabetic Polyneuropathy",6
"1222","E10.3522 Type 1 Diabetes Mellitus With Proliferative Diabetic Retinopathy With Traction Retinal Detachment Involving The Macula, Left Eye",6
"1223","E10.52 Type 1 Diabetes Mellitus With Diabetic Peripheral Angiopathy With Gangrene",6
"1224","E11.11 Type 2 Diabetes Mellitus With Ketoacidosis With Coma",6
"1225","E11.3412 Type 2 Diabetes Mellitus With Severe Nonproliferative Diabetic Retinopathy With Macular Edema, Left Eye",6
"1226","E11.3522 Type 2 Diabetes Mellitus With Proliferative Diabetic Retinopathy With Traction Retinal Detachment Involving The Macula, Left Eye",6
"1227","E11.3551 Type 2 Diabetes Mellitus With Stable Proliferative Diabetic Retinopathy, Right Eye",6
"1228","E13.3599 Other Specified Diabetes Mellitus With Proliferative Diabetic Retinopathy Without Macular Edema, Unspecified Eye",6
"1229","E13.649 Other Specified Diabetes Mellitus With Hypoglycemia Without Coma",6
"1230","E68 Sequelae Of Hyperalimentation",6
"1231","E70.1 Other Hyperphenylalaninemias",6
"1232","E71.30 Disorder Of Fatty-Acid Metabolism, Unspecified",6
"1233","E71.510 Zellweger Syndrome",6
"1234","E74.01 Von Gierke Disease",6
"1235","E79.9 Disorder Of Purine And Pyrimidine Metabolism, Unspecified",6
"1236","E83.09 Other Disorders Of Copper Metabolism",6
"1237","E85.0 Non-Neuropathic Heredofamilial Amyloidosis",6
"1238","F10.221 Alcohol Dependence With Intoxication Delirium",6
"1239","F11.120 Opioid Abuse With Intoxication, Uncomplicated",6
"1240","F12.129 Cannabis Abuse With Intoxication, Unspecified",6
"1241","F12.159 Cannabis Abuse With Psychotic Disorder, Unspecified",6
"1242","F13.939 Sedative, Hypnotic Or Anxiolytic Use, Unspecified With Withdrawal, Unspecified",6
"1243","F14.929 Cocaine Use, Unspecified With Intoxication, Unspecified",6
"1244","F15.929 Other Stimulant Use, Unspecified With Intoxication, Unspecified",6
"1245","F15.982 Other Stimulant Use, Unspecified With Stimulant-Induced Sleep Disorder",6
"1246","F19.14 Other Psychoactive Substance Abuse With Psychoactive Substance-Induced Mood Disorder",6
"1247","F19.159 Other Psychoactive Substance Abuse With Psychoactive Substance-Induced Psychotic Disorder, Unspecified",6
"1248","F19.24 Other Psychoactive Substance Dependence With Psychoactive Substance-Induced Mood Disorder",6
"1249","F19.280 Other Psychoactive Substance Dependence With Psychoactive Substance-Induced Anxiety Disorder",6
"1250","F19.981 Other Psychoactive Substance Use, Unspecified With Psychoactive Substance-Induced Sexual Dysfunction",6
"1251","249.70 Secondary Diabetes Mellitus With Peripheral Circulatory Disorders, Not Stated As Uncontrolled, Or Unspecified",5
"1252","260 Kwashiorkor",5
"1253","267 Ascorbic Acid Deficiency",5
"1254","276.3 Alkalosis",5
"1255","276.52 Hypovolemia",5
"1256","277.39 Other Amyloidosis",5
"1257","295.00 Simple Type Schizophrenia, Unspecified State",5
"1258","295.35 Paranoid Type Schizophrenia, In Remission",5
"1259","295.75 Schizo-Affective Type Schizophrenia, In Remission",5
"1260","304.22 Cocaine Dependence, Episodic Use",5
"1261","304.73 Combinations Of Opioid Type Drug With Any Other Drug Dependence, In Remission",5
"1262","306.3 Skin Disorder Arising From Mental Factors",5
"1263","306.7 Disorder Of Organs Of Special Sense Arising From Mental Factors",5
"1264","309.23 Specific Academic Or Work Inhibition",5
"1265","310.81 Pseudobulbar Affect",5
"1266","E08.3391 Diabetes Mellitus Due To Underlying Condition With Moderate Nonproliferative Diabetic Retinopathy Without Macular Edema, Right Eye",5
"1267","E08.3511 Diabetes Mellitus Due To Underlying Condition With Proliferative Diabetic Retinopathy With Macular Edema, Right Eye",5
"1268","E08.3512 Diabetes Mellitus Due To Underlying Condition With Proliferative Diabetic Retinopathy With Macular Edema, Left Eye",5
"1269","E08.3519 Diabetes Mellitus Due To Underlying Condition With Proliferative Diabetic Retinopathy With Macular Edema, Unspecified Eye",5
"1270","E08.3593 Diabetes Mellitus Due To Underlying Condition With Proliferative Diabetic Retinopathy Without Macular Edema, Bilateral",5
"1271","E09.40 Drug Or Chemical Induced Diabetes Mellitus With Neurological Complications With Diabetic Neuropathy, Unspecified",5
"1272","E10.3493 Type 1 Diabetes Mellitus With Severe Nonproliferative Diabetic Retinopathy Without Macular Edema, Bilateral",5
"1273","E10.3499 Type 1 Diabetes Mellitus With Severe Nonproliferative Diabetic Retinopathy Without Macular Edema, Unspecified Eye",5
"1274","E13.3399 Other Specified Diabetes Mellitus With Moderate Nonproliferative Diabetic Retinopathy Without Macular Edema, Unspecified Eye",5
"1275","E13.3513 Other Specified Diabetes Mellitus With Proliferative Diabetic Retinopathy With Macular Edema, Bilateral",5
"1276","E13.3519 Other Specified Diabetes Mellitus With Proliferative Diabetic Retinopathy With Macular Edema, Unspecified Eye",5
"1277","E13.36 Other Specified Diabetes Mellitus With Diabetic Cataract",5
"1278","E13.620 Other Specified Diabetes Mellitus With Diabetic Dermatitis",5
"1279","E13.628 Other Specified Diabetes Mellitus With Other Skin Complications",5
"1280","E70.0 Classical Phenylketonuria",5
"1281","E70.319 Ocular Albinism, Unspecified",5
"1282","E72.03 Lowe'S Syndrome",5
"1283","E75.29 Other Sphingolipidosis",5
"1284","E83.30 Disorder Of Phosphorus Metabolism, Unspecified",5
"1285","E83.40 Disorders Of Magnesium Metabolism, Unspecified",5
"1286","F10.26 Alcohol Dependence With Alcohol-Induced Persisting Amnestic Disorder",5
"1287","F10.950 Alcohol Use, Unspecified With Alcohol-Induced Psychotic Disorder With Delusions",5
"1288","F10.959 Alcohol Use, Unspecified With Alcohol-Induced Psychotic Disorder, Unspecified",5
"1289","F11.259 Opioid Dependence With Opioid-Induced Psychotic Disorder, Unspecified",5
"1290","F13.232 Sedative, Hypnotic Or Anxiolytic Dependence With Withdrawal With Perceptual Disturbance",5
"1291","F14.980 Cocaine Use, Unspecified With Cocaine-Induced Anxiety Disorder",5
"1292","F15.14 Other Stimulant Abuse With Stimulant-Induced Mood Disorder",5
"1293","F15.182 Other Stimulant Abuse With Stimulant-Induced Sleep Disorder",5
"1294","F15.988 Other Stimulant Use, Unspecified With Other Stimulant-Induced Disorder",5
"1295","F16.24 Hallucinogen Dependence With Hallucinogen-Induced Mood Disorder",5
"1296","F19.288 Other Psychoactive Substance Dependence With Other Psychoactive Substance-Induced Disorder",5
"1297","F19.988 Other Psychoactive Substance Use, Unspecified With Other Psychoactive Substance-Induced Disorder",5
"1298","F52.1 Sexual Aversion Disorder",5
"1299","F65.81 Frotteurism",5
"1300","F98.21 Rumination Disorder Of Infancy",5
"1301","F98.4 Stereotyped Movement Disorders",5
"1302","V17.5 Family History Of Asthma",5
"1303","246.1 Dyshormonogenic Goiter",4
"1304","257.9 Unspecified Testicular Dysfunction",4
"1305","258.01 Multiple Endocrine Neoplasia [Men] Type I",4
"1306","259.0 Delay In Sexual Development And Puberty, Not Elsewhere Classified",4
"1307","259.1 Precocious Sexual Development And Puberty, Not Elsewhere Classified",4
"1308","259.2 Carcinoid Syndrome",4
"1309","270.1 Phenylketonuria [Pku]",4
"1310","271.2 Hereditary Fructose Intolerance",4
"1311","275.1 Disorders Of Copper Metabolism",4
"1312","277.31 Familial Mediterranean Fever",4
"1313","279.01 Selective Iga Immunodeficiency",4
"1314","291.1 Alcohol Amnestic Syndrome",4
"1315","295.34 Paranoid Type Schizophrenia, Chronic State With Acute Exacerbation",4
"1316","295.50 Latent Schizophrenia, Unspecified State",4
"1317","296.03 Manic Disorder, Single Episode, Severe Degree, Without Mention Of Psychotic Behavior",4
"1318","300.12 Psychogenic Amnesia",4
"1319","300.19 Other And Unspecified Factitious Illness",4
"1320","302.3 Transvestism",4
"1321","302.79 Psychosexual Dysfunction With Other Specified Psychosexual Dysfunctions",4
"1322","305.30 Hallucinogen Abuse, Unspecified Use",4
"1323","307.21 Transient Tic Disorder Of Childhood",4
"1324","312.82 Conduct Disorder, Adolescent Onset Type",4
"1325","315.09 Other Specific Developmental Reading Disorder",4
"1326","E08.3312 Diabetes Mellitus Due To Underlying Condition With Moderate Nonproliferative Diabetic Retinopathy With Macular Edema, Left Eye",4
"1327","E08.3493 Diabetes Mellitus Due To Underlying Condition With Severe Nonproliferative Diabetic Retinopathy Without Macular Edema, Bilateral",4
"1328","E08.3591 Diabetes Mellitus Due To Underlying Condition With Proliferative Diabetic Retinopathy Without Macular Edema, Right Eye",4
"1329","E08.44 Diabetes Mellitus Due To Underlying Condition With Diabetic Amyotrophy",4
"1330","E09.8 Drug Or Chemical Induced Diabetes Mellitus With Unspecified Complications",4
"1331","E10.3399 Type 1 Diabetes Mellitus With Moderate Nonproliferative Diabetic Retinopathy Without Macular Edema, Unspecified Eye",4
"1332","E10.3513 Type 1 Diabetes Mellitus With Proliferative Diabetic Retinopathy With Macular Edema, Bilateral",4
"1333","E11.3521 Type 2 Diabetes Mellitus With Proliferative Diabetic Retinopathy With Traction Retinal Detachment Involving The Macula, Right Eye",4
"1334","E11.3539 Type 2 Diabetes Mellitus With Proliferative Diabetic Retinopathy With Traction Retinal Detachment Not Involving The Macula, Unspecified Eye",4
"1335","E11.359 Type 2 Diabetes Mellitus With Proliferative Diabetic Retinopathy Without Macular Edema",4
"1336","E11.37X9 Type 2 Diabetes Mellitus With Diabetic Macular Edema, Resolved Following Treatment, Unspecified Eye",4
"1337","E13.3523 Other Specified Diabetes Mellitus With Proliferative Diabetic Retinopathy With Traction Retinal Detachment Involving The Macula, Bilateral",4
"1338","E71.118 Other Branched-Chain Organic Acidurias",4
"1339","E71.121 Propionic Acidemia",4
"1340","E72.09 Other Disorders Of Amino-Acid Transport",4
"1341","E72.89 Other Specified Disorders Of Amino-Acid Metabolism",4
"1342","E80.29 Other Porphyria",4
"1343","E85.3 Secondary Systemic Amyloidosis",4
"1344","E88.41 Melas Syndrome",4
"1345","F07.89 Other Personality And Behavioral Disorders Due To Known Physiological Condition",4
"1346","F10.121 Alcohol Abuse With Intoxication Delirium",4
"1347","F10.181 Alcohol Abuse With Alcohol-Induced Sexual Dysfunction",4
"1348","F11.188 Opioid Abuse With Other Opioid-Induced Disorder",4
"1349","F11.959 Opioid Use, Unspecified With Opioid-Induced Psychotic Disorder, Unspecified",4
"1350","F12.150 Cannabis Abuse With Psychotic Disorder With Delusions",4
"1351","F12.259 Cannabis Dependence With Psychotic Disorder, Unspecified",4
"1352","F12.29 Cannabis Dependence With Unspecified Cannabis-Induced Disorder",4
"1353","F13.951 Sedative, Hypnotic Or Anxiolytic Use, Unspecified With Sedative, Hypnotic Or Anxiolytic-Induced Psychotic Disorder With Hallucinations",4
"1354","F14.220 Cocaine Dependence With Intoxication, Uncomplicated",4
"1355","F14.229 Cocaine Dependence With Intoxication, Unspecified",4
"1356","F14.959 Cocaine Use, Unspecified With Cocaine-Induced Psychotic Disorder, Unspecified",4
"1357","F15.159 Other Stimulant Abuse With Stimulant-Induced Psychotic Disorder, Unspecified",4
"1358","F15.920 Other Stimulant Use, Unspecified With Intoxication, Uncomplicated",4
"1359","F16.959 Hallucinogen Use, Unspecified With Hallucinogen-Induced Psychotic Disorder, Unspecified",4
"1360","F17.223 Nicotine Dependence, Chewing Tobacco, With Withdrawal",4
"1361","F19.259 Other Psychoactive Substance Dependence With Psychoactive Substance-Induced Psychotic Disorder, Unspecified",4
"1362","F24 Shared Psychotic Disorder",4
"1363","F30.4 Manic Episode In Full Remission",4
"1364","F40.233 Fear Of Injury",4
"1365","F55.1 Abuse Of Herbal Or Folk Remedies",4
"1366","F95.0 Transient Tic Disorder",4
"1367","242.40 Thyrotoxicosis From Ectopic Thyroid Nodule Without Mention Of Thyrotoxic Crisis Or Storm",3
"1368","242.9 Thyrotoxicosis Without Mention Of Goiter Or Other Cause",3
"1369","244.2 Iodine Hypothyroidism",3
"1370","249.41 Secondary Diabetes Mellitus With Renal Manifestations, Uncontrolled",3
"1371","249.51 Secondary Diabetes Mellitus With Ophthalmic Manifestations, Uncontrolled",3
"1372","249.61 Secondary Diabetes Mellitus With Neurological Manifestations, Uncontrolled",3
"1373","250.33 Diabetes Mellitus With Other Coma, Type I [Insulin Dependent Type] [Iddm] [Juvenile Type], Uncontrolled",3
"1374","250.71 Diabetes Mellitus Type I [Insulin Dependent Type] [Iddm] [Juvenile Type], Not Stated As Uncontrolled, With Peripheral Circulatory Disorders",3
"1375","250.73 Diabetes Mellitus Type I [Insulin Dependent Type] [Iddm] [Juvenile Type], Uncontrolled, With Peripheral Circulatory Disorders",3
"1376","251.3 Postsurgical Hypoinsulinemia",3
"1377","251.5 Abnormality Of Secretion Of Gastrin",3
"1378","253.7 Iatrogenic Pituitary Disorders",3
"1379","255.13 Bartter'S Syndrome",3
"1380","272.3 Hyperchylomicronemia",3
"1381","273.3 Macroglobulinemia",3
"1382","274.11 Uric Acid Nephrolithiasis",3
"1383","274.82 Gouty Tophi Of Other Sites",3
"1384","278.8 Other Hyperalimentation",3
"1385","279.03 Other Selective Immunoglobulin Deficiencies",3
"1386","295.42 Acute Schizophrenic Episode, Chronic State",3
"1387","296.04 Manic Disorder, Single Episode, Severe Degree, Specified As With Psychotic Behavior",3
"1388","296.81 Atypical Manic Disorder",3
"1389","301.10 Affective Personality Disorder, Unspecified",3
"1390","302.2 Pedophilia",3
"1391","306.53 Psychogenic Dysuria",3
"1392","307.3 Stereotyped Repetitive Movements",3
"1393","308.2 Predominant Psychomotor Disturbance",3
"1394","312.01 Undersocialized Conduct Disorder, Aggressive Type, Mild Degree",3
"1395","312.02 Undersocialized Conduct Disorder, Aggressive Type, Moderate Degree",3
"1396","312.03 Undersocialized Conduct Disorder, Aggressive Type, Severe Degree",3
"1397","313.82 Identity Disorder Of Childhood Or Adolescence",3
"1398","E08.3219 Diabetes Mellitus Due To Underlying Condition With Mild Nonproliferative Diabetic Retinopathy With Macular Edema, Unspecified Eye",3
"1399","E08.3399 Diabetes Mellitus Due To Underlying Condition With Moderate Nonproliferative Diabetic Retinopathy Without Macular Edema, Unspecified Eye",3
"1400","E08.3492 Diabetes Mellitus Due To Underlying Condition With Severe Nonproliferative Diabetic Retinopathy Without Macular Edema, Left Eye",3
"1401","E08.36 Diabetes Mellitus Due To Underlying Condition With Diabetic Cataract",3
"1402","E08.620 Diabetes Mellitus Due To Underlying Condition With Diabetic Dermatitis",3
"1403","E09.29 Drug Or Chemical Induced Diabetes Mellitus With Other Diabetic Kidney Complication",3
"1404","E09.3493 Drug Or Chemical Induced Diabetes Mellitus With Severe Nonproliferative Diabetic Retinopathy Without Macular Edema, Bilateral",3
"1405","E09.69 Drug Or Chemical Induced Diabetes Mellitus With Other Specified Complication",3
"1406","E10.3413 Type 1 Diabetes Mellitus With Severe Nonproliferative Diabetic Retinopathy With Macular Edema, Bilateral",3
"1407","E10.620 Type 1 Diabetes Mellitus With Diabetic Dermatitis",3
"1408","E11.341 Type 2 Diabetes Mellitus With Severe Nonproliferative Diabetic Retinopathy With Macular Edema",3
"1409","E11.349 Type 2 Diabetes Mellitus With Severe Nonproliferative Diabetic Retinopathy Without Macular Edema",3
"1410","E11.3532 Type 2 Diabetes Mellitus With Proliferative Diabetic Retinopathy With Traction Retinal Detachment Not Involving The Macula, Left Eye",3
"1411","E13.00 Other Specified Diabetes Mellitus With Hyperosmolarity Without Nonketotic Hyperglycemic-Hyperosmolar Coma (Nkhhc)",3
"1412","E13.3213 Other Specified Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy With Macular Edema, Bilateral",3
"1413","E13.3559 Other Specified Diabetes Mellitus With Stable Proliferative Diabetic Retinopathy, Unspecified Eye",3
"1414","E13.618 Other Specified Diabetes Mellitus With Other Diabetic Arthropathy",3
"1415","E13.638 Other Specified Diabetes Mellitus With Other Oral Complications",3
"1416","E71.311 Medium Chain Acyl Coa Dehydrogenase Deficiency",3
"1417","E71.529 X-Linked Adrenoleukodystrophy, Unspecified",3
"1418","E72.51 Non-Ketotic Hyperglycinemia",3
"1419","E72.53 Hyperoxaluria",3
"1420","E74.00 Glycogen Storage Disease, Unspecified",3
"1421","E74.21 Galactosemia",3
"1422","E83.32 Hereditary Vitamin D-Dependent Rickets (Type 1) (Type 2)",3
"1423","E83.89 Other Disorders Of Mineral Metabolism",3
"1424","F10.281 Alcohol Dependence With Alcohol-Induced Sexual Dysfunction",3
"1425","F12.229 Cannabis Dependence With Intoxication, Unspecified",3
"1426","F12.251 Cannabis Dependence With Psychotic Disorder With Hallucinations",3
"1427","F12.93 Cannabis Use, Unspecified With Withdrawal",3
"1428","F12.951 Cannabis Use, Unspecified With Psychotic Disorder With Hallucinations",3
"1429","F13.988 Sedative, Hypnotic Or Anxiolytic Use, Unspecified With Other Sedative, Hypnotic Or Anxiolytic-Induced Disorder",3
"1430","F14.150 Cocaine Abuse With Cocaine-Induced Psychotic Disorder With Delusions",3
"1431","F14.920 Cocaine Use, Unspecified With Intoxication, Uncomplicated",3
"1432","F14.951 Cocaine Use, Unspecified With Cocaine-Induced Psychotic Disorder With Hallucinations",3
"1433","F16.188 Hallucinogen Abuse With Other Hallucinogen-Induced Disorder",3
"1434","F16.950 Hallucinogen Use, Unspecified With Hallucinogen-Induced Psychotic Disorder With Delusions",3
"1435","F19.120 Other Psychoactive Substance Abuse With Intoxication, Uncomplicated",3
"1436","F19.150 Other Psychoactive Substance Abuse With Psychoactive Substance-Induced Psychotic Disorder With Delusions",3
"1437","F19.188 Other Psychoactive Substance Abuse With Other Psychoactive Substance-Induced Disorder",3
"1438","F19.232 Other Psychoactive Substance Dependence With Withdrawal With Perceptual Disturbance",3
"1439","F19.920 Other Psychoactive Substance Use, Unspecified With Intoxication, Uncomplicated",3
"1440","F19.921 Other Psychoactive Substance Use, Unspecified With Intoxication With Delirium",3
"1441","F30.3 Manic Episode In Partial Remission",3
"1442","F40.242 Fear Of Bridges",3
"1443","F45.20 Hypochondriacal Disorder, Unspecified",3
"1444","V17.4 Family History Of Other Cardiovascular Diseases",3
"1445","Z81.2 Family History Of Tobacco Abuse And Dependence",3
"1446","240.0 Goiter, Specified As Simple",2
"1447","242.30 Toxic Nodular Goiter, Unspecified Type, Without Mention Of Thyrotoxic Crisis Or Storm",2
"1448","242.91 Thyrotoxicosis Without Mention Of Goiter Or Other Cause, With Mention Of Thyrotoxic Crisis Or Storm",2
"1449","245.0 Acute Thyroiditis",2
"1450","249.71 Secondary Diabetes Mellitus With Peripheral Circulatory Disorders, Uncontrolled",2
"1451","251.0 Hypoglycemic Coma",2
"1452","255.3 Other Corticoadrenal Overactivity",2
"1453","255.42 Mineralocorticoid Deficiency",2
"1454","258.1 Other Combinations Of Endocrine Dysfunction",2
"1455","259.51 Androgen Insensitivity Syndrome",2
"1456","263.1 Malnutrition Of Mild Degree",2
"1457","266.0 Ariboflavinosis",2
"1458","268.0 Rickets, Active",2
"1459","271.1 Galactosemia",2
"1460","273.9 Unspecified Disorder Of Plasma Protein Metabolism",2
"1461","276.50 Volume Depletion, Unspecified",2
"1462","277.6 Other Deficiencies Of Circulating Enzymes",2
"1463","277.85 Disorders Of Fatty Acid Oxidation",2
"1464","277.87 Disorders Of Mitochondrial Metabolism",2
"1465","279.02 Selective Igm Immunodeficiency",2
"1466","279.11 Digeorge'S Syndrome",2
"1467","290.12 Presenile Dementia With Delusional Features",2
"1468","291.5 Alcoholic Jealousy",2
"1469","293.1 Subacute Delirium",2
"1470","295.02 Simple Type Schizophrenia, Chronic State",2
"1471","295.71 Schizo-Affective Type Schizophrenia, Subchronic State",2
"1472","295.82 Other Specified Types Of Schizophrenia, Chronic State",2
"1473","295.94 Unspecified Schizophrenia, Chronic State With Acute Exacerbation",2
"1474","296.12 Manic Disorder, Recurrent Episode, Moderate Degree",2
"1475","298.1 Excitative Type Psychosis",2
"1476","299.01 Infantile Autism, Residual State",2
"1477","300.10 Hysteria, Unspecified",2
"1478","300.13 Psychogenic Fugue",2
"1479","302.53 Trans-Sexualism With Heterosexual History",2
"1480","304.12 Barbiturate And Similarly Acting Sedative Or Hypnotic Dependence, Episodic Use",2
"1481","304.61 Other Specified Drug Dependence, Continuous Use",2
"1482","305.32 Hallucinogen Abuse, Episodic Use",2
"1483","305.33 Hallucinogen Abuse, In Remission",2
"1484","305.42 Barbiturate And Similarly Acting Sedative Or Hypnotic Abuse, Episodic Use",2
"1485","306.51 Psychogenic Vaginismus",2
"1486","307.22 Chronic Motor Tic Disorder",2
"1487","307.7 Encopresis",2
"1488","309.83 Adjustment Reaction With Withdrawal",2
"1489","310.0 Frontal Lobe Syndrome",2
"1490","312.4 Mixed Disturbance Of Conduct And Emotions",2
"1491","315.32 Receptive Language Disorder (Mixed)",2
"1492","E08.3292 Diabetes Mellitus Due To Underlying Condition With Mild Nonproliferative Diabetic Retinopathy Without Macular Edema, Left Eye",2
"1493","E08.3393 Diabetes Mellitus Due To Underlying Condition With Moderate Nonproliferative Diabetic Retinopathy Without Macular Edema, Bilateral",2
"1494","E08.3411 Diabetes Mellitus Due To Underlying Condition With Severe Nonproliferative Diabetic Retinopathy With Macular Edema, Right Eye",2
"1495","E08.3419 Diabetes Mellitus Due To Underlying Condition With Severe Nonproliferative Diabetic Retinopathy With Macular Edema, Unspecified Eye",2
"1496","E08.3491 Diabetes Mellitus Due To Underlying Condition With Severe Nonproliferative Diabetic Retinopathy Without Macular Edema, Right Eye",2
"1497","E08.3532 Diabetes Mellitus Due To Underlying Condition With Proliferative Diabetic Retinopathy With Traction Retinal Detachment Not Involving The Macula, Left Eye",2
"1498","E08.3553 Diabetes Mellitus Due To Underlying Condition With Stable Proliferative Diabetic Retinopathy, Bilateral",2
"1499","E08.3599 Diabetes Mellitus Due To Underlying Condition With Proliferative Diabetic Retinopathy Without Macular Edema, Unspecified Eye",2
"1500","E08.638 Diabetes Mellitus Due To Underlying Condition With Other Oral Complications",2
"1501","E09.00 Drug Or Chemical Induced Diabetes Mellitus With Hyperosmolarity Without Nonketotic Hyperglycemic-Hyperosmolar Coma (Nkhhc)",2
"1502","E09.11 Drug Or Chemical Induced Diabetes Mellitus With Ketoacidosis With Coma",2
"1503","E09.630 Drug Or Chemical Induced Diabetes Mellitus With Periodontal Disease",2
"1504","E10.11 Type 1 Diabetes Mellitus With Ketoacidosis With Coma",2
"1505","E10.3212 Type 1 Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy With Macular Edema, Left Eye",2
"1506","E10.3213 Type 1 Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy With Macular Edema, Bilateral",2
"1507","E10.3319 Type 1 Diabetes Mellitus With Moderate Nonproliferative Diabetic Retinopathy With Macular Edema, Unspecified Eye",2
"1508","E10.3559 Type 1 Diabetes Mellitus With Stable Proliferative Diabetic Retinopathy, Unspecified Eye",2
"1509","E10.641 Type 1 Diabetes Mellitus With Hypoglycemia With Coma",2
"1510","E11.321 Type 2 Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy With Macular Edema",2
"1511","E11.3529 Type 2 Diabetes Mellitus With Proliferative Diabetic Retinopathy With Traction Retinal Detachment Involving The Macula, Unspecified Eye",2
"1512","E11.3542 Type 2 Diabetes Mellitus With Proliferative Diabetic Retinopathy With Combined Traction Retinal Detachment And Rhegmatogenous Retinal Detachment, Left Eye",2
"1513","E11.37X2 Type 2 Diabetes Mellitus With Diabetic Macular Edema, Resolved Following Treatment, Left Eye",2
"1514","E13.01 Other Specified Diabetes Mellitus With Hyperosmolarity With Coma",2
"1515","E13.3291 Other Specified Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy Without Macular Edema, Right Eye",2
"1516","E13.339 Other Specified Diabetes Mellitus With Moderate Nonproliferative Diabetic Retinopathy Without Macular Edema",2
"1517","E13.44 Other Specified Diabetes Mellitus With Diabetic Amyotrophy",2
"1518","E13.52 Other Specified Diabetes Mellitus With Diabetic Peripheral Angiopathy With Gangrene",2
"1519","E13.630 Other Specified Diabetes Mellitus With Periodontal Disease",2
"1520","E70.331 Hermansky-Pudlak Syndrome",2
"1521","E71.314 Muscle Carnitine Palmitoyltransferase Deficiency",2
"1522","E71.40 Disorder Of Carnitine Metabolism, Unspecified",2
"1523","E72.01 Cystinuria",2
"1524","E72.10 Disorders Of Sulfur-Bearing Amino-Acid Metabolism, Unspecified",2
"1525","E72.52 Trimethylaminuria",2
"1526","E74.09 Other Glycogen Storage Disease",2
"1527","E75.22 Gaucher Disease",2
"1528","E75.241 Niemann-Pick Disease Type B",2
"1529","E78.72 Smith-Lemli-Opitz Syndrome",2
"1530","E83.00 Disorder Of Copper Metabolism, Unspecified",2
"1531","E83.111 Hemochromatosis Due To Repeated Red Blood Cell Transfusions",2
"1532","E83.9 Disorder Of Mineral Metabolism, Unspecified",2
"1533","E84.19 Cystic Fibrosis With Other Intestinal Manifestations",2
"1534","E85.81 Light Chain (Al) Amyloidosis",2
"1535","E85.89 Other Amyloidosis",2
"1536","E87.4 Mixed Disorder Of Acid-Base Balance",2
"1537","E88.40 Mitochondrial Metabolism Disorder, Unspecified",2
"1538","F11.250 Opioid Dependence With Opioid-Induced Psychotic Disorder With Delusions",2
"1539","F11.920 Opioid Use, Unspecified With Intoxication, Uncomplicated",2
"1540","F12.222 Cannabis Dependence With Intoxication With Perceptual Disturbance",2
"1541","F13.120 Sedative, Hypnotic Or Anxiolytic Abuse With Intoxication, Uncomplicated",2
"1542","F13.129 Sedative, Hypnotic Or Anxiolytic Abuse With Intoxication, Unspecified",2
"1543","F13.14 Sedative, Hypnotic Or Anxiolytic Abuse With Sedative, Hypnotic Or Anxiolytic-Induced Mood Disorder",2
"1544","F13.280 Sedative, Hypnotic Or Anxiolytic Dependence With Sedative, Hypnotic Or Anxiolytic-Induced Anxiety Disorder",2
"1545","F13.29 Sedative, Hypnotic Or Anxiolytic Dependence With Unspecified Sedative, Hypnotic Or Anxiolytic-Induced Disorder",2
"1546","F13.94 Sedative, Hypnotic Or Anxiolytic Use, Unspecified With Sedative, Hypnotic Or Anxiolytic-Induced Mood Disorder",2
"1547","F14.151 Cocaine Abuse With Cocaine-Induced Psychotic Disorder With Hallucinations",2
"1548","F14.159 Cocaine Abuse With Cocaine-Induced Psychotic Disorder, Unspecified",2
"1549","F14.259 Cocaine Dependence With Cocaine-Induced Psychotic Disorder, Unspecified",2
"1550","F14.280 Cocaine Dependence With Cocaine-Induced Anxiety Disorder",2
"1551","F14.988 Cocaine Use, Unspecified With Other Cocaine-Induced Disorder",2
"1552","F15.19 Other Stimulant Abuse With Unspecified Stimulant-Induced Disorder",2
"1553","F15.221 Other Stimulant Dependence With Intoxication Delirium",2
"1554","F15.921 Other Stimulant Use, Unspecified With Intoxication Delirium",2
"1555","F16.94 Hallucinogen Use, Unspecified With Hallucinogen-Induced Mood Disorder",2
"1556","F16.99 Hallucinogen Use, Unspecified With Unspecified Hallucinogen-Induced Disorder",2
